"Promoter Name"	"Absolute-Plus-1-Position"	"Component-Of"
PM0-45487	2947088	COLI-K12-59
PM00262	4112522	COLI-K12-82 // TU00188
PM0-45855	3755901	COLI-K12-75
PM0-45195	2096437	COLI-K12-42
PM0-10381	651395	COLI-K12-13 // TU0-14751
PM00668	2041586	COLI-K12-40 // TU00513
PM0-46342	2192225	COLI-K12-43 // TU0-13518
PM0-45559	3117288	COLI-K12-62
PM0-44381	195561	COLI-K12-3
PM0-45924	4016774	COLI-K12-80
PM0-9546	2270334	COLI-K12-45
PM-8767	2614090	COLI-K12-52 // TU-8384
PM0-44743	1145972	COLI-K12-22
PM0-10551	3070670	COLI-K12-61 // TU0-14816 // TU0-14814
PM00137	3651959	COLI-K12-73 // TU00096
PM0-4785	791400	COLI-K12-15 // TU0-4545
PM0-45110	1908181	COLI-K12-38
PM0-9689	3274994	COLI-K12-65 // TU0-13872
PM00581	3638021	COLI-K12-72 // TU00432
PM0-44450	344476	COLI-K12-6
PM0-45471	2898493	COLI-K12-58
PM0-44815	1268700	COLI-K12-25
PM0-45839	3722518	COLI-K12-74
PM00235	847270	COLI-K12-16 // TU00172
PM0-10357	1398308	COLI-K12-28 // TU0-14739
PM0-45179	2051558	COLI-K12-41
PM0-46324	1411580	COLI-K12-28 // TU0-42572
PM00652	2284229	COLI-K12-45 // TU00494
PM0-44365	155438	COLI-K12-3
PM0-45543	3089040	COLI-K12-61
PM0-9422	3341348	COLI-K12-67 // TU0-14292
PM0-45908	3948050	COLI-K12-79
PM0-44727	1104937	COLI-K12-22
PM0-10514	3834221	COLI-K12-76 // TU0-14007
PM00111	85600	COLI-K12-1 // TU00081
PM0-4642	815915	COLI-K12-16
PM0-45094	1879879	COLI-K12-37
PM0-9634	4188510	COLI-K12-83 // TU0-14101
PM00564	3475547	COLI-K12-69 // TU0-1063
PM0-44436	317749	COLI-K12-6
PM0-45455	2841124	COLI-K12-56
PM0-44799	1223934	COLI-K12-24
PM0-45823	3694398	COLI-K12-74
PM00214	1277000	COLI-K12-25 // TU00156
PM0-10288	3662804	COLI-K12-73 // TU0-14719
PM00636	2021860	COLI-K12-40 // TU00486
PM0-46306	3380195	COLI-K12-67 // TU0-42561
PM0-45166	2027485	COLI-K12-40
PM0-44350	60450	COLI-K12-1
PM0-45527	3027186	COLI-K12-60
PM0-9381		TU0-14278
PM0-45895	3894785	COLI-K12-78
PM0-44711	1055445	COLI-K12-21
PM0-10472	1976601	COLI-K12-39 // TU0-14785
PM00092	1020170	COLI-K12-20 // TU00066
PM0-46386	3338143	COLI-K12-66 // TU0-13889
PM0-45078	1860608	COLI-K12-37
PM0-9602	3839794	COLI-K12-77 // TU0-14010
PM00548	1328907	COLI-K12-26 // TU0-2502
PM0-44421	294895	COLI-K12-5
PM0-45439	2756877	COLI-K12-55
PM0-44783	1208489	COLI-K12-24
PM0-45807	3632658	COLI-K12-72
PM00191	1292181	COLI-K12-25 // TU00139
PM0-10253	3657168	COLI-K12-73 // TU0-14698
PM00620	3490452	COLI-K12-70 // TU00465
PM0-46268	3646317	COLI-K12-73 // TU0-42530
PM0-45150	1977610	COLI-K12-39
PM0-44335	6615	COLI-K12-0
PM0-45511	2988390	COLI-K12-59
PM0-9342	2830329	COLI-K12-56 // TU0-14258
PM0-45879	3834900	COLI-K12-76
PM0-44695	1029284	COLI-K12-20
PM0-10445	2696660	COLI-K12-54 // TU0-13667
PM00066	986315	COLI-K12-19 // TU00050
PM0-46368	2963276	COLI-K12-59 // TU0-42616
PM0-45062	1811279	COLI-K12-36
PM0-44405	274522	COLI-K12-5
PM00532	1341393	COLI-K12-26 // TU00389
PM0-9584	4175200	COLI-K12-83 // TU00354
PM0-45423	2739377	COLI-K12-54
PM0-44767	1196848	COLI-K12-24
PM0-45791	3607142	COLI-K12-72
PM00165	3567412	COLI-K12-71 // TU00122
PM0-10224	4173130	COLI-K12-83 // TU0-14228
PM00603	4633500	COLI-K12-92 // TU00253
PM0-46190	4018001	COLI-K12-80 // TU0-42484
PM0-45134	1943476	COLI-K12-38
PM0-4261	1344867	COLI-K12-26 // TU0-4021
PM0-45495	2978825	COLI-K12-59
PM0-9260	1435145	COLI-K12-28 // TU0-8824
PM0-45863	3782599	COLI-K12-75
PM0-44679	963461	COLI-K12-19
PM0-10408	637916	COLI-K12-12 // TU0-14761
PM00045	365567	COLI-K12-7 // TU00036
PM0-46351	1333114	COLI-K12-26 // TU0-13198
PM0-45046	1785363	COLI-K12-35
PM0-44389	233982	COLI-K12-4
PM00516	2475843	COLI-K12-49 // TU00148
PM0-9557	28288	COLI-K12-0 // TU0-14399
PM0-45407	2672810	COLI-K12-53
PM0-44751	1168086	COLI-K12-23
PM0-45775	3582743	COLI-K12-71
PM00146	1686464	COLI-K12-33 // TU0-42499 // TU00104
PM0-10196	1752666	COLI-K12-35 // TU0-14675
PM0-45118	1919749	COLI-K12-38
PM0-45772	3579781	COLI-K12-71
PM00590	2866140	COLI-K12-57 // TU00442
PM0-10193	4468969	COLI-K12-89 // TU0-14169
PM0-45479	2923391	COLI-K12-58
PM0-46159	1561225	COLI-K12-31 // TU0-42462
PM0-45847	3749898	COLI-K12-75
PM0-3684	2549265	COLI-K12-51 // TU0-3484
PM0-10367	1622712	COLI-K12-32 // TU0-8706
PM0-8913	553800	COLI-K12-11 // TU0-8477
PM0-46332	2912340	COLI-K12-58 // TU0-42590
PM0-44660	921973	COLI-K12-18
PM0-44373	177700	COLI-K12-3
PM00024	4614702	COLI-K12-92 // TU00017
PM0-9520	243406	COLI-K12-4 // TU0-8793
PM0-45027	1741482	COLI-K12-34
PM0-44735	1125304	COLI-K12-22
PM00496	4176377	COLI-K12-83 // TU0-6512
PM00127	2685525	COLI-K12-53 // TU00089
PM0-45388	2627694	COLI-K12-52
PM0-45102	1892803	COLI-K12-37
PM0-45756	3527694	COLI-K12-70
PM00573	2657546	COLI-K12-53 // TU00423
PM0-10176	4262327	COLI-K12-85 // TU0-14227
PM0-45463	2870006	COLI-K12-57
PM0-46123	1342534	COLI-K12-26 // TU0-42448
PM0-45831	3714438	COLI-K12-74
PM0-36250	2967015	COLI-K12-59 // TU0-13746
PM0-10343	3820100	COLI-K12-76 // TU00344
PM0-8848	2837451	COLI-K12-56 // TU00241
PM0-46314	3332880	COLI-K12-66 // TU0-13886
PM0-44644	862006	COLI-K12-17
PM0-44358	145053	COLI-K12-2
PM00005	4152908	COLI-K12-83 // TU00004
PM0-9403	1984823	COLI-K12-39 // TU0-14282
PM0-45011	1702423	COLI-K12-34
PM0-44719	1094856	COLI-K12-21
PM00479	3963670	COLI-K12-79 // TU0-3102
PM00102	638144	COLI-K12-12 // TU00074
PM0-45372	2556715	COLI-K12-51
PM0-45086	1873672	COLI-K12-37
PM0-45740	3497435	COLI-K12-70
PM00556	10644	COLI-K12-0 // TU00405
PM0-10155	3924498	COLI-K12-78 // TU0-14030
PM0-45447	2773910	COLI-K12-55
PM0-46105	4605748	COLI-K12-92
PM0-45815	3671353	COLI-K12-73
PM0-36236	1438855	COLI-K12-28 // TU0-42540 // TU0-8699
PM0-10277	2151335	COLI-K12-43 // TU0-13502
PM0-8736	3809300	COLI-K12-76
PM0-46298	1445333	COLI-K12-29 // TU0-42548
PM0-44627	837707	TU0-13053 // COLI-K12-16
PM0-44343	16951	COLI-K12-0
PM0-9988	557004	COLI-K12-11 // TU0-12965
PM0-9369	3431708	COLI-K12-68 // TU0-7282
PM0-44995	1655571	COLI-K12-33
PM0-44703	1050501	COLI-K12-21
PM00462	3880585	COLI-K12-77 // TU0-1195
PM00081	1735713	COLI-K12-34 // TU00059
PM0-45356	2515891	COLI-K12-50
PM0-45070	1843035	COLI-K12-36
PM935	1666615	COLI-K12-33 // TU790
PM00540	1236748	COLI-K12-24 // TU00255
PM0-45724	3416218	COLI-K12-68
PM0-45431	2745952	COLI-K12-55
PM0-10134	3378204	COLI-K12-67 // TU0-13897
PM0-45799	3617067	COLI-K12-72
PM0-46089	4569743	COLI-K12-91
PM0-10243	1928789	COLI-K12-38 // TU0-13438
PM0-36221	118663	COLI-K12-2 // TU0-12812
PM0-46215	1214729	COLI-K12-24 // TU0-42501
PM0-8703	1262779	COLI-K12-25 // TU0-8323
PM0-4424	200960	COLI-K12-4 // TU0-4184
PM0-44612	784719	COLI-K12-15
PM0-9310	255737	COLI-K12-5 // TU0-8874
PM0-9972	395587	COLI-K12-7 // TU0-8768
PM0-44687	1005073	COLI-K12-20
PM0-44979	1631009	COLI-K12-32
PM00055	4221806	COLI-K12-84 // TU00042
PM00443	3446244	COLI-K12-69 // TU00337
PM0-45054	1804274	COLI-K12-36
PM0-45340	2461007	COLI-K12-49
PM00524	2411481	COLI-K12-48 // TU00385
PM741	121650	COLI-K12-2 // TU641
PM0-45415	2720600	COLI-K12-54
PM0-45708	3387405	COLI-K12-67
PM0-45783	3602375	COLI-K12-72
PM0-10117	3039121	COLI-K12-60 // TU0-13788
PM0-10209	149630	COLI-K12-2 // TU00313
PM0-46073	4516402	COLI-K12-90
PM0-46180	84024	COLI-K12-1 // TU0-42478
PM0-36189	2464537	COLI-K12-49 // TU0-13600
PM0-4	4103709	COLI-K12-82 // TU0-3
PM0-8581	903746	COLI-K12-18 // TU0-8201
PM0-9097	4014366	COLI-K12-80 // TU0-8661
PM0-44596	741893	COLI-K12-14
PM0-44671	948797	COLI-K12-19
PM0-9955	1899796	COLI-K12-38 // TU0-8643
PM00035	4054394	COLI-K12-81 // TU00028
PM0-44963	1580578	COLI-K12-31 // TU0-41795
PM00032	791304	TU0-42583 // TU0-42581 // TU0-42578 // COLI-K12-15 // TU00025
PM00425	2907739	COLI-K12-58 // TU0-6557
PM0-45035	1753233	COLI-K12-35
PM0-45324	2406857	COLI-K12-48
PM00504	4470768	COLI-K12-89 // TU00485
PM646	1297532	COLI-K12-26 // TU546
PM0-45396	2645390	COLI-K12-53
PM0-45692	3364911	COLI-K12-67
PM0-45764	3554902	COLI-K12-71
PM0-10098	2637424	COLI-K12-52 // TU0-14647
PM0-10184	4368999	COLI-K12-87 // TU0-14674
PM0-46057	4488108	COLI-K12-90
PM0-46139	2817395	COLI-K12-56 // TU0-42456
PM0-36143	2313997	COLI-K12-46 // TU0-36403
PM0-36259	4254525	COLI-K12-85 // TU0-36440
PM0-8401	2585497	COLI-K12-51 // TU0-8021
PM0-8875	3405373	COLI-K12-68 // TU00314
PM0-44580	678688	COLI-K12-13
PM0-44652	897075	COLI-K12-17
PM0-9868	4397075	COLI-K12-88 // TU0-14565
PM00013	405504	COLI-K12-8 // TU00011
PM0-44947	1533893	COLI-K12-30
PM0-45019	1718889	COLI-K12-34
PM00409	2531523	COLI-K12-50 // TU00479
PM00487	4126489	COLI-K12-82 // TU0-2708
PM0-45308	2383927	COLI-K12-47
PM0-45380	2580902	COLI-K12-51
PM584	2699835	COLI-K12-54 // TU484
PM0-45748	3524268	COLI-K12-70
PM0-45676	3325124	COLI-K12-66
PM0-10164	4024508	COLI-K12-80 // TU0-14665
PM0-10080	2183473	COLI-K12-43 // TU0-13512
PM0-46113	4631796	COLI-K12-92
PM0-46041	4440293	COLI-K12-89
PM0-36243	2228417	COLI-K12-44 // TU0-13534
PM0-3342	770436	COLI-K12-15 // TU0-3162
PM0-8751	2063996	COLI-K12-41 // TU0-8368
PM0-8182	1717801	COLI-K12-34 // TU0-7802
PM0-44635	851849	COLI-K12-17
PM0-44564	663224	COLI-K12-13
PM0-9996	823824	COLI-K12-16 // TU0-8566
PM0-9845		TU0-13982
PM0-45003	1669981	COLI-K12-33
PM0-44931	1509539	COLI-K12-30
PM00471	3920157	COLI-K12-78 // TU0-6636
PM00383	1930823	COLI-K12-38 // TU26
PM0-45364	2525061	COLI-K12-50
PM0-45292	2346360	COLI-K12-47
PM0-45732	3473131	COLI-K12-69
PM5	1451889	COLI-K12-29 // TU5
PM0-10145	3520848	COLI-K12-70 // TU0-8822
PM0-45660	3285384	COLI-K12-65
PM0-46097	4592860	COLI-K12-92
PM0-10063	1905641	COLI-K12-38 // TU0-13422
PM0-36229	515127	COLI-K12-10 // TU0-12957
PM0-46025	4389607	COLI-K12-88
PM0-8727	3411724	COLI-K12-68 // TU00234
PM0-2743	3149412	COLI-K12-63 // TU0-2562
PM0-4462	196470	COLI-K12-3 // TU0-4222
PM0-7921	2481653	COLI-K12-49 // TU0-7541
PM0-9980	454217	COLI-K12-9 // TU0-12928
PM0-44548	634778	COLI-K12-12
PM0-44987	1639870	COLI-K12-32
PM0-9823	1073336	COLI-K12-21 // TU0-14540
PM00452	3717912	COLI-K12-74 // TU0-1581
PM0-44915	1490140	COLI-K12-29
PM0-45348	2490152	COLI-K12-49
PM00367	1262899	COLI-K12-25 // TU0-4201
PM922	1811766	COLI-K12-36 // TU781
PM0-45277	2290643	COLI-K12-45
PM0-45716	3409639	COLI-K12-68
PM4	1451694	COLI-K12-29 // TU4
PM0-10126	3182740	COLI-K12-63 // TU0-13839
PM0-45644	3252313	COLI-K12-65
PM0-46081	4557560	COLI-K12-91
PM0-10047	1653733	COLI-K12-33 // TU0-13335
PM0-3621	2493600	COLI-K12-50 // TU0-3421
PM0-46009	4306690	COLI-K12-86
PM0-8623	1946698	COLI-K12-39 // TU0-8243
PM0-2261	1173251	COLI-K12-23 // TU0-2081
PM0-44605	776760	COLI-K12-15
PM0-7542	2667004	COLI-K12-53 // TU0-7202
PM0-9964	194784	COLI-K12-3 // TU0-14339
PM0-44532	579028	COLI-K12-11
PM0-44971	1613755	COLI-K12-32
PM0-9803		TU0-14208
PM00435	3210495	COLI-K12-64 // TU00436
PM0-44899	1438880	COLI-K12-28
PM0-45332	2446590	COLI-K12-49
PM00351	812375	COLI-K12-16 // TU0-7044
PM682	1347153	COLI-K12-27 // TU582
PM0-45262	2261858	COLI-K12-45
PM0-45700	3383503	COLI-K12-67
PM330	2518798	COLI-K12-50 // TU0-6550
PM0-10109	2865629	COLI-K12-57 // TU0-14650
PM0-45628	3236577	COLI-K12-64
PM0-46065	4502028	COLI-K12-90
PM0-10029	1321212	COLI-K12-26 // TU0-13194
PM0-36173	2813087	COLI-K12-56 // TU0-36414
PM0-45993	4276489	COLI-K12-85
PM0-8527	1524035	COLI-K12-30 // TU0-8147
PM0-1981	1366062	COLI-K12-27 // TU00326
PM0-44588	712069	COLI-K12-14
PM0-7163	629078	COLI-K12-12 // TU0-6823
PM0-9881	3320612	COLI-K12-66 // TU0-14574
PM0-44516	556248	COLI-K12-11
PM0-44955	1553751	COLI-K12-31
PM0-9782		TU0-14503
PM00417	2714760	COLI-K12-54 // TU0-6515
PM0-44883	1418194	COLI-K12-28
PM0-45316	2386595	COLI-K12-47
PM00334	255809	COLI-K12-5 // TU0-6556
PM602	1739225	COLI-K12-34 // TU502
PM0-45247	2228515	COLI-K12-44
PM0-45684	3347853	COLI-K12-67
PM221	3534729	COLI-K12-70 // TU161
PM0-10090	2528223	COLI-K12-50 // TU0-13620
PM0-45612	3202555	COLI-K12-64
PM0-46049	4472806	COLI-K12-89
PM0-10010	989814	COLI-K12-19 // TU0-8489
PM0-3603	2798612	COLI-K12-56 // TU0-3403
PM0-45977	4198534	COLI-K12-84
PM0-8222	21210	COLI-K12-0 // TU0-7842
PM0-1681	2001700	COLI-K12-40 // TU0-1521
PM0-44572	675847	COLI-K12-13
PM0-5804	3102015	COLI-K12-62 // TU0-5569 // TU0-5581 // TU0-5564
PM0-9855	2491461	COLI-K12-49 // TU0-7745
PM0-44500	507488	COLI-K12-10
PM0-44939	1515634	COLI-K12-30
PM0-9764	160722	COLI-K12-3 // TU0-14494
PM00396	2080752	COLI-K12-41 // TU0-6513
PM0-44867	1391228	COLI-K12-27
PM0-45300	2363720	COLI-K12-47
PM00318	28343	COLI-K12-0 // TU0-6403
PM524	4375768	COLI-K12-87 // TU0-6484
PM0-45232	2190923	COLI-K12-43
PM0-45668	3296945	COLI-K12-66
PM178	4231639	COLI-K12-84 // TU0-6553
PM0-10072	2069527	COLI-K12-41 // TU0-14636
PM0-45596	3170528	COLI-K12-63
PM0-46033	4431154	COLI-K12-88
PM-8821	638225	COLI-K12-12 // TU-8435
PM0-3	2749781	COLI-K12-55 // TU0-2
PM0-45961	4104455	COLI-K12-82
PM0-8002	545635	COLI-K12-10 // TU0-7622
PM0-1351	3427069	COLI-K12-68 // TU0-1191
PM0-44556	658094	COLI-K12-13
PM0-5403	4417698	COLI-K12-88 // TU0-5163
PM0-9835		TU0-14552
PM0-44484	474469	COLI-K12-9
PM0-44923	1498664	COLI-K12-30
PM0-9744	455829	COLI-K12-9 // TU0-14490
PM00375	1797787	COLI-K12-36 // TU0-8855 // TU0-6657
PM0-44851	1337332	COLI-K12-26
PM0-45284	2318103	COLI-K12-46
PM00295	1934400	COLI-K12-38 // TU00209
PM440	4363415	COLI-K12-87 // TU359
PM0-45216	2149100	COLI-K12-43
PM0-45652	3265276	COLI-K12-65
PM162	2520527	COLI-K12-50 // TU791
PM0-10055	1753624	COLI-K12-35 // TU0-14631
PM0-45580	3156443	COLI-K12-63
PM0-46017	4354530	COLI-K12-87
PM-8793	2011229	COLI-K12-40 // TU00275
PM0-2582	367743	COLI-K12-7 // TU0-2402
PM0-45945	4067456	COLI-K12-81
PM0-7761	2507483	COLI-K12-50 // TU0-7421
PM0-1222	4041400	COLI-K12-81 // TU0-1062
PM0-44540	606784	COLI-K12-12
PM0-5167	3544471	COLI-K12-71 // TU0-4927
PM0-9813		TU0-14530
PM0-44468	398668	COLI-K12-8
PM0-44907	1485226	COLI-K12-29
PM0-9720	3643261	COLI-K12-73 // TU0-13957
PM00359	1078408	COLI-K12-21 // TU121
PM0-44835	1313262	COLI-K12-26
PM0-4527	57336	COLI-K12-1 // TU0-4287
PM00272	3770211	COLI-K12-75 // TU00193
PM339	42325	COLI-K12-0 // TU142
PM0-45200	2101114	COLI-K12-42
PM0-45636	3250271	COLI-K12-65
PM00673	3320300	COLI-K12-66 // TU00518
PM0-10038	1433665	COLI-K12-28 // TU0-13239
PM0-45564	3130471	COLI-K12-62
PM0-46001	4292291	COLI-K12-86
PM0-45929	4022832	COLI-K12-80
PM0-2082	440597	COLI-K12-8 // TU00373
PM-8773	925908	COLI-K12-18 // TU-8390
PM0-7481	1554364	COLI-K12-31 // TU0-7141
PM0-10559	1753641	COLI-K12-35 // TU0-14822
PM0-44524	568033	COLI-K12-11
PM0-4882	1940685	COLI-K12-38 // TU0-4642
PM0-9794		TU0-14514
PM0-9696	456426	COLI-K12-9 // TU0-14455
PM0-44891	1423288	COLI-K12-28
PM0-44455	380197	COLI-K12-7
PM00342	496363	COLI-K12-9 // TU0-6481
PM0-4482	3110921	COLI-K12-62 // TU0-4242
PM0-45254	2247733	COLI-K12-45
PM00247	3534707	COLI-K12-70 // TU00177
PM263	131519	COLI-K12-2 // TU796
PM0-45184	2057746	COLI-K12-41
PM0-45620	3224164	COLI-K12-64
PM00657	3213619	COLI-K12-64 // TU00502
PM0-10020	1146561	COLI-K12-22 // TU0-1
PM0-45548	3097617	COLI-K12-62
PM0-45985	4228185	COLI-K12-84
PM0-45913	4002250	COLI-K12-80
PM0-1730	3677252	COLI-K12-73 // TU0-1549
PM0-10527	265382	COLI-K12-5 // TU0-14802
PM0-6601	832296	COLI-K12-16 // TU0-6301
PM0-4684	712165	COLI-K12-14 // TU0-4444
PM0-44508	530582	COLI-K12-10
PM0-9650	2926057	COLI-K12-58
PM0-9772		TU0-14496
PM0-44440	319312	COLI-K12-6
PM0-44875	1411284	COLI-K12-28
PM0-44804	1232370	COLI-K12-24
PM00326	127717	COLI-K12-2 // TU00523
PM00221	2261619	COLI-K12-45 // TU00161
PM0-4524	57156	COLI-K12-1 // TU0-4284
PM00641	3375591	COLI-K12-67 // TU00361
PM195	4638531	COLI-K12-92 // TU344
PM0-45171	2036864	COLI-K12-40 // TU0-13468
PM0-45604	3190076	COLI-K12-63
PM0-45532	3030992	COLI-K12-60
PM0-10001	908543	COLI-K12-18 // TU0-14618
PM0-45897	3897487	COLI-K12-78
PM0-45969	4141903	COLI-K12-83
PM0-10482	2585572	COLI-K12-51 // TU0-14793
PM0-1442	710744	COLI-K12-14 // TU0-1282
PM0-46397	4071609	COLI-K12-81 // TU0-14068
PM0-5642	421719	COLI-K12-8 // TU0-5402
PM0-9618	4577858	COLI-K12-91 // TU0-14420
PM0-44492	490081	COLI-K12-9
PM0-44426	310021	COLI-K12-6 // TU0-12879
PM0-9756	2379075	COLI-K12-47 // TU0-13571
PM0-44788	1209542	COLI-K12-24
PM0-44859	1355834	COLI-K12-27
PM00196	2541579	COLI-K12-50 // TU00144
PM00307	1894833	COLI-K12-38 // TU00223
PM00625	4346787	COLI-K12-87 // TU00468
PM0-45224	2166707	COLI-K12-43
PM0-45155	1987676	COLI-K12-39
PM170	4465386	COLI-K12-89 // TU0-2422
PM0-45516	2991625	COLI-K12-60
PM0-45588	3166393	COLI-K12-63
PM0-45884	3841903	COLI-K12-77
PM-8808	576096	COLI-K12-11 // TU-8422
PM0-10454	4476407	COLI-K12-89 // TU0-14772
PM0-45953	4077585	COLI-K12-81
PM0-46373	2708361	COLI-K12-54 // TU0-42638
PM0-1341	4033262	COLI-K12-80 // TU0-1181
PM0-44410	274509	COLI-K12-5
PM0-5285	4552481	COLI-K12-91 // TU0-5041
PM0-9592	77338	COLI-K12-1 // TU0-12805
PM0-44476	432258	COLI-K12-8
PM0-44772	1197891	COLI-K12-24
PM0-9731	3543480	COLI-K12-71 // TU0-14478
PM00172	2932141	COLI-K12-58 // TU00128
PM0-44843	1328781	COLI-K12-26
PM00608	105045	COLI-K12-2 // TU0-1423
PM00284	4323229	COLI-K12-86 // TU00201
PM0-45139	1957291	COLI-K12-39
PM0-45208	2107610	COLI-K12-42
PM0-45500	2983741	COLI-K12-59
PM1023	1306697	COLI-K12-26 // TU863
PM0-45868	3797447	COLI-K12-76
PM0-45572	3132004	COLI-K12-62
PM0-10418	4603800	COLI-K12-92 // TU0-8630
PM0-45937	4058395	COLI-K12-81
PM0-46356	208326	COLI-K12-4 // TU0-42602
PM-8782	1130108	COLI-K12-22 // TU00272
PM0-44394	237278	COLI-K12-4
PM0-1125	4118429	COLI-K12-82 // TU0-965
PM0-9566		TU0-14405
PM0-5023	4460861	COLI-K12-89 // TU0-4783
PM0-44756	1174622	COLI-K12-23
PM0-44460	383962	COLI-K12-7
PM00151	29551	COLI-K12-0 // TU00110
PM0-9711	433728	COLI-K12-8 // TU0-14466
PM0-45123	1923110	COLI-K12-38
PM0-44827	1292716	COLI-K12-25
PM00595	922315	COLI-K12-18 // TU00446
PM00258	2976973	COLI-K12-59 // TU00185
PM0-45484	2941229	COLI-K12-58
PM0-45192	2087235	COLI-K12-41
PM0-45852	3749919	COLI-K12-75
PM00665	1096899	COLI-K12-22 // TU00510
PM0-10375	3243065	COLI-K12-65 // TU0-14749
PM0-45556	3112501	COLI-K12-62
PM0-46337	1146800	COLI-K12-23 // TU0-5
PM0-45921	4007046	COLI-K12-80
PM0-44378	193335	COLI-K12-3
PM0-10543	1214975	COLI-K12-24 // TU0-14762
PM0-9539	3399215	COLI-K12-68 // TU0-14389 // TU0-14386
PM0-4761	3576841	COLI-K12-71 // TU0-4521
PM0-44740	1145984	COLI-K12-22
PM0-9681	932152	COLI-K12-18 // TU0-14448
PM00134	4402687	COLI-K12-88 // TU00094
PM0-44448	326481	COLI-K12-6
PM0-45107	1908277	COLI-K12-38
PM0-44812	1244324	COLI-K12-24
PM00578	1860621	COLI-K12-37 // TU0-4906
PM00232	2175256	COLI-K12-43 // TU00169
PM0-45468	2890594	COLI-K12-57
PM00649	2042565	COLI-K12-40 // TU00497
PM0-45836	3715212	COLI-K12-74
PM0-45540	3087774	COLI-K12-61
PM0-10352	1234128	COLI-K12-24 // TU0-14737
PM0-45905	3944803	COLI-K12-79
PM0-46321	4364974	COLI-K12-87 // TU0-42567
PM0-10509	3759320	COLI-K12-75 // TU00355
PM0-44362	148920	COLI-K12-2
PM0-46406	3873208	COLI-K12-77 // TU0-14018
PM0-9417	3303954	COLI-K12-66 // TU0-14288
PM0-9627	506428	COLI-K12-10 // TU0-8522
PM0-44724	1104448	COLI-K12-22
PM0-44433	317600	COLI-K12-6
PM00108	2530399	COLI-K12-50 // TU00079
PM0-44796	1218160	COLI-K12-24
PM0-45091	1877414	COLI-K12-37
PM00209	2848483	COLI-K12-57 // TU00153
PM00561		TU00412
PM00633	2531520	COLI-K12-50 // TU00480
PM0-45452	2797092	COLI-K12-56
PM0-45163	2022867	COLI-K12-40
PM0-45820	3694306	COLI-K12-74
PM0-45524	3013189	COLI-K12-60
PM0-10283	1092064	COLI-K12-21 // TU0-8682
PM0-45892	3867337	COLI-K12-77
PM0-46303	3016972	COLI-K12-60 // TU0-42558
PM0-10469	3014014	COLI-K12-60 // TU0-13781
PM0-44348	51293	COLI-K12-1
PM0-46383	4003859	COLI-K12-80 // TU0-14047
PM0-9376	1840187	COLI-K12-36 // TU0-8642
PM0-9599	3309205	COLI-K12-66 // TU0-8516
PM0-44708	1051053	COLI-K12-21
PM0-44418	292342	COLI-K12-5 // TU0-12871
PM00088	3598872	COLI-K12-72 // TU00083
PM0-44780	1202311	COLI-K12-24
PM0-45075	1852065	COLI-K12-37
PM00184	1976419	COLI-K12-39 // TU00136
PM00545	1554630	COLI-K12-31 // TU0-1762
PM00616	1039822	COLI-K12-20 // TU00461
PM0-45436	2756682	COLI-K12-55
PM0-45147	1977692	COLI-K12-39
PM0-45804	3624871	COLI-K12-72
PM0-45508	2986445	COLI-K12-59
PM0-10249	1790111	COLI-K12-35 // TU0-13377
PM0-45876	3826942	COLI-K12-76
PM0-46254	192814	COLI-K12-3 // TU0-42525
PM0-10442	229098	COLI-K12-4 // TU0-12839
PM0-4433	3199126	COLI-K12-64 // TU0-4192
PM0-46365	3244640	COLI-K12-65 // TU0-42612
PM0-9328	25014	COLI-K12-0 // TU0-14253
PM0-44402	259440	COLI-K12-5
PM0-44692	1023199	COLI-K12-20
PM0-9577	2424859	COLI-K12-48 // TU0-14415
PM00063	2342777	COLI-K12-47 // TU00047
PM0-44764	1187493	COLI-K12-23
PM0-45059	1811372	COLI-K12-36
PM00161	3483975	COLI-K12-69 // TU00119
PM00529	4609176	COLI-K12-92 // TU0-1981
PM0-45131	1939857	COLI-K12-38
PM0-45420	2723834	COLI-K12-54
PM0-45492	2969269	COLI-K12-59
PM0-45788	3603598	COLI-K12-72
PM0-45860	3774620	COLI-K12-75
PM0-10221	467576	COLI-K12-9 // TU0-12936
PM0-10401	1886085	COLI-K12-37 // TU0-14354
PM0-46187	1684678	COLI-K12-33 // TU0-42482
PM0-46347	2838964	COLI-K12-56 // TU0-42599
PM0-4202	621476	COLI-K12-12 // TU0-6043
PM0-44386	217135	COLI-K12-4
PM0-9218	879876	COLI-K12-17 // TU0-8782
PM0-9553	22034	COLI-K12-0 // TU0-14395
PM0-44676	959366	COLI-K12-19
PM0-44748	1161046	COLI-K12-23
PM00041	3955890	COLI-K12-79 // TU00033
PM00142	450877	COLI-K12-9 // TU00101
PM0-45043	1768954	COLI-K12-35
PM0-45115	1919769	COLI-K12-38
PM00513	3791888	COLI-K12-76 // TU00329
PM00586	2866851	COLI-K12-57 // TU00309
PM0-45404	2665950	COLI-K12-53
PM0-45476	2908882	COLI-K12-58
PM00509	4622879	COLI-K12-92 // TU0-6514
PM0-45844	3735244	COLI-K12-74
PM0-45401	2662266	COLI-K12-53
PM0-10364	117705	COLI-K12-2 // TU0-12811
PM0-45769	3575108	COLI-K12-71
PM0-46329	2714528	COLI-K12-54 // TU0-42577
PM0-10190	4427803	COLI-K12-88 // TU0-14159
PM0-44370	162075	COLI-K12-3
PM0-46155	1903483	COLI-K12-38 // TU0-13420
